Nama Perusahaan,Nama Kapal,Ukuran Kapal (GT),Tanggal Keberangkatan,Tanggal Kedatangan,Alat Penangkapan Ikan,Jenis Ikan,Estimasi Nakhoda (kg),Volume Ril (kg),Harga Acuan Ikan per Kg (Rp),Nilai Produksi (Rp),Besar Pungutan Hasil Perikanan
5,24,133,2024-01-06,2024-11-20,1,3,41250,41679,9500,395950500,46951100
5,24,133,2024-01-06,2024-11-20,1,9,295,500,9500,4750000,46951100
5,24,133,2024-01-06,2024-11-20,1,10,97,97,17000,1649000,46951100
5,24,133,2024-01-06,2024-11-20,1,11,1980,2180,22000,47960000,46951100
5,24,133,2024-01-06,2024-11-20,1,18,1970,2259,8500,19201500,46951100
5,9,134,2023-12-20,2024-02-29,0,3,31514,31099,9500,295440500,41654750
5,9,134,2023-12-20,2024-02-29,0,9,1563,1708,9500,16226000,41654750
5,9,134,2023-12-20,2024-02-29,0,10,517,683,17000,11611000,41654750
5,9,134,2023-12-20,2024-02-29,0,11,1376,2879,22000,63338000,41654750
5,9,134,2023-12-20,2024-02-29,0,19,992,1254,8500,10659000,41654750
5,9,134,2023-12-20,2024-02-29,0,21,523,744,22000,16368000,41654750
5,9,134,2023-12-20,2024-02-29,0,16,300,415,7000,2905000,41654750
11,5,138,2023-12-27,2024-03-24,0,3,30350,35894,9500,340993000,50979850
11,5,138,2023-12-27,2024-03-24,0,9,2100,911,9500,8654500,50979850
11,5,138,2023-12-27,2024-03-24,0,11,2300,3493,22000,76846000,50979850
11,5,138,2023-12-27,2024-03-24,0,19,2000,1216,8500,10336000,50979850
11,5,138,2023-12-27,2024-03-24,0,21,1250,1861,22000,40942000,50979850
11,5,138,2023-12-27,2024-03-24,0,16,980,1780,7000,12460000,50979850
11,5,138,2023-12-27,2024-03-24,0,10,1200,1151,17000,19567000,50979850
6,4,188,2024-01-17,2024-05-03,0,21,1827,1275,22000,28050000,128974250
6,4,188,2024-01-17,2024-05-03,0,11,2680,6290,22000,138380000,128974250
6,4,188,2024-01-17,2024-05-03,0,3,84990,103525,9500,983487500,128974250
6,4,188,2024-01-17,2024-05-03,0,19,1569,10915,8500,92777500,128974250
